seed,pr_auc,roc_auc,tpr_at_fpr,checkpoint
42,0.3419988373294506,0.8373020517942794,0.2292817679558011,models\checkpoints\hybrid_gating_seed_42.pt
123,0.32928196241141683,0.8312397254216479,0.23480662983425415,models\checkpoints\hybrid_gating_seed_123.pt
2026,0.34315400321588824,0.8323896003058964,0.2430939226519337,models\checkpoints\hybrid_gating_seed_2026.pt
