attribute,category,n,fraud_rate,review_rate,recall,fpr,pr_auc,reliable
DeviceType,MISSING,70399,0.019261637239165328,0.14609582522479012,0.45206489675516226,0.14008661269064207,0.08566223889708226,True
DeviceType,mobile,7721,0.12058023572076156,0.5373656262142209,0.8990332975295381,0.4877761413843888,0.5735719065253372,True
DeviceType,desktop,10461,0.07609215180193098,0.5837874008221011,0.9258793969849246,0.5556130367304708,0.44647430510774117,True
card4,discover,925,0.08540540540540541,0.5254054054054054,0.9113924050632911,0.48936170212765956,0.5054454509189722,True
card4,mastercard,29134,0.03164687306926615,0.26831193794192354,0.7765726681127982,0.25170140365801785,0.2680182425018233,True
card4,visa,56942,0.03593129851427768,0.20450633978434196,0.6695992179863147,0.18717210725735936,0.3518303184269253,True
card4,american express,836,0.025119617224880382,0.3145933014354067,0.7142857142857143,0.3042944785276074,0.4457393278748272,True
card4,MISSING,744,0.020161290322580645,0.4435483870967742,0.9333333333333333,0.4334705075445816,0.43916694185904454,True
card6,credit,20785,0.0636997834977147,0.47423622804907384,0.8542296072507553,0.44838394738194337,0.3384984484165123,True
card6,debit,67053,0.026009276244165064,0.154415164123902,0.5974770642201835,0.14258371740495185,0.2943353746993407,True
card6,MISSING,743,0.020188425302826378,0.44414535666218036,0.9333333333333333,0.4340659340659341,0.4402992207560073,True
ProductCD,W,69468,0.01861288650889618,0.14173432371739506,0.43078112915699923,0.13625229189585625,0.06296415771894212,True
ProductCD,H,2562,0.06401249024199844,0.4769711163153786,0.8170731707317073,0.4537114261884904,0.34816834592297896,True
ProductCD,C,9388,0.13527907967618236,0.5938432040903281,0.9181102362204724,0.5431140675043115,0.6218026133522319,True
ProductCD,S,2973,0.04843592330978809,0.8964009418096199,0.9722222222222222,0.8925415341109932,0.19383448300961115,True
ProductCD,R,4190,0.050596658711217185,0.29427207637231506,0.8962264150943396,0.2621920563097034,0.6086770954005032,True
P_emaildomain,MISSING,16030,0.027698066126013724,0.3174672489082969,0.5900900900900901,0.30970101373027076,0.10205914878329427,True
P_emaildomain,gmail.com,34136,0.04218420435903445,0.2275603468479025,0.7645833333333333,0.2039087350134573,0.42696691566174355,True
P_emaildomain,outlook.com,790,0.11645569620253164,0.47215189873417723,0.9456521739130435,0.40974212034383956,0.7351166354101322,True
P_emaildomain,yahoo.com,14856,0.02221324717285945,0.14829025309639204,0.5151515151515151,0.1399559410711827,0.14954863281861888,True
P_emaildomain,mail.com,78,0.1282051282051282,0.44871794871794873,1.0,0.36764705882352944,0.7865079365079364,True
P_emaildomain,anonymous.com,5243,0.02441350371924471,0.21838641998855618,0.8125,0.20351906158357772,0.48859992658056384,True
P_emaildomain,hotmail.com,6111,0.0612011127475045,0.32482408771068566,0.8262032085561497,0.29213874847481264,0.5978461264706149,True
P_emaildomain,verizon.net,326,0.02147239263803681,0.07668711656441718,0.7142857142857143,0.06269592476489028,0.5259952401055898,False
P_emaildomain,aol.com,4222,0.01705352913311227,0.17029843675982947,0.5694444444444444,0.16337349397590362,0.09083825873972218,True
P_emaildomain,me.com,188,0.0425531914893617,0.14361702127659576,0.5,0.12777777777777777,0.12496532356302353,False
P_emaildomain,comcast.net,1008,0.04265873015873016,0.21428571428571427,0.6744186046511628,0.19378238341968912,0.2047089581905619,True
P_emaildomain,optonline.net,131,0.0,0.22137404580152673,nan,0.22137404580152673,nan,False
P_emaildomain,cox.net,192,0.026041666666666668,0.17708333333333334,0.2,0.17647058823529413,0.11458049886621316,False
P_emaildomain,charter.net,99,0.09090909090909091,0.15151515151515152,0.7777777777777778,0.08888888888888889,0.5676144292842585,False
P_emaildomain,rocketmail.com,103,0.0,0.06796116504854369,nan,0.06796116504854369,nan,False
P_emaildomain,prodigy.net.mx,23,0.0,0.17391304347826086,nan,0.17391304347826086,nan,False
P_emaildomain,embarqmail.com,33,0.06060606060606061,0.2727272727272727,0.0,0.2903225806451613,0.09166666666666667,False
P_emaildomain,icloud.com,949,0.026343519494204427,0.1791359325605901,0.6,0.16774891774891776,0.29468503206811864,True
P_emaildomain,live.com.mx,101,0.1782178217821782,0.42574257425742573,0.8333333333333334,0.3373493975903614,0.6810846401363644,True
P_emaildomain,gmail,71,0.04225352112676056,0.18309859154929578,0.0,0.19117647058823528,0.05409434479201922,False
P_emaildomain,live.com,439,0.009111617312072893,0.16400911161731208,0.75,0.15862068965517243,0.5684449958643507,False
P_emaildomain,att.net,667,0.01199400299850075,0.08545727136431784,0.125,0.08497723823975721,0.015705874111999904,False
