alpha,target_coverage,empirical_coverage,empirical_coverage_ci_lower,empirical_coverage_ci_upper,coverage_gap,legitimate_coverage,fraud_coverage,brier_score,brier_score_ci_lower,brier_score_ci_upper,expected_calibration_error,review_rate,review_rate_ci_lower,review_rate_ci_upper,review_precision,review_precision_ci_lower,review_precision_ci_upper,review_fraud_capture,review_fraud_capture_ci_lower,review_fraud_capture_ci_upper,approve_rate,block_rate,empty_set_rate,singleton_rate,average_set_size,threshold
0.01,0.99,0.9898849640442081,0.9892468475180908,0.9905806549937346,-0.00011503595579187564,1.0,0.7093739863769056,0.03193211138621801,0.030831139417270424,0.032823809757878665,0.012100789075511745,0.23188945710705455,0.22881769228164053,0.2344692992853998,0.10646998685555718,0.10225156808182288,0.11064629978795955,0.7093739863769056,0.6931412342140432,0.7256734373979492,0.7681105428929454,0.0,0.0,0.7681105428929454,1.2318894571070547,0.975174069404602
0.025,0.975,0.976055813323399,0.9750903128210339,0.9771116266467978,0.0010558133233989908,0.9996140260590891,0.3227375932533247,0.03193211138621801,0.030831139417270424,0.032823809757878665,0.012100789075511745,0.03540262584527156,0.034121030469288,0.03661648660547973,0.23469387755102042,0.21961394769613948,0.24921704042537152,0.23872851119039895,0.2234332838492774,0.2536130073196266,0.9613009561869927,0.0032964179677357447,0.0,0.9645973741547285,1.0354026258452715,0.7592153549194336
0.05,0.95,0.9325137444824511,0.9308181212675404,0.9343341122814148,-0.0174862555175489,0.9654611803784884,0.018812844631852094,0.03193211138621801,0.030831139417270424,0.032823809757878665,0.012100789075511745,0.04546121628791727,0.04399306849098565,0.046844978042695384,0.2666997765085672,0.2532206148483437,0.2802561629012114,0.34836198507946803,0.33289686679567937,0.3652985819605684,0.9538840157595873,0.0006547679524954561,0.04546121628791727,0.9545387837120827,0.9545387837120827,0.17506521940231323
0.1,0.9,0.8827175127849087,0.8806118129169912,0.8852076065973515,-0.01728248721509129,0.9145477087183326,0.0,0.03193211138621801,0.030831139417270424,0.032823809757878665,0.012100789075511745,0.10073266276063715,0.09839525406125467,0.10266422822049874,0.18121707945758153,0.17390717588210278,0.18924007898945064,0.5244891339604282,0.5080007145581265,0.5428950238816065,0.8992673372393628,0.0,0.10073266276063715,0.8992673372393628,0.8992673372393628,0.05240100622177124
0.2,0.8,0.7796818730879083,0.7772180264390783,0.7827364220318127,-0.020318126912091783,0.8077966736064002,0.0,0.03193211138621801,0.030831139417270424,0.032823809757878665,0.012100789075511745,0.20954832300380444,0.2064663979860241,0.21204293245729897,0.11469669216679237,0.11011441019584092,0.11924709700230884,0.6905611417450536,0.6743194579260946,0.7075295386133538,0.7904516769961956,0.0,0.20954832300380444,0.7904516769961956,0.7904516769961956,0.026855885982513428
